162,Civic,CVC,"$153,914,925 ",$0.15 ,"1,000,000,000 CVC *","$15,090,986 ",0.14%,-5.23%,-3.65%,
93,Compound,COMP,"$428,719,550 ",$59.57 ,"7,197,354 COMP *","$102,772,102 ",0.27%,-5.18%,1.23%,
180,Conflux,CFX,"$123,343,284 ",$0.06 ,"2,090,735,404 CFX","$13,879,326 ",0.75%,-0.69%,4.36%,
168,Constellation,DAG,"$141,529,663 ",$0.11 ,"1,266,911,931 DAG *","$844,168 ",-0.95%,-1.82%,4.93%,
156,ConstitutionDAO,PEOPLE,"$163,273,309 ",$0.03 ,"5,060,137,335 PEOPLE *","$64,957,127 ",0.68%,-6.07%,-16.86%,
86,Convex Finance,CVX,"$468,329,653 ",$7.05 ,"66,467,890 CVX *","$8,271,802 ",-0.05%,-4.24%,0.93%,
26,Cosmos,ATOM,"$3,203,551,564 ",$11.19 ,"286,370,297 ATOM *","$279,173,066 ",0.00%,-4.83%,9.58%,
179,COTI,COTI,"$125,787,873 ",$0.11 ,"1,108,643,952 COTI *","$11,108,913 ",0.05%,-5.85%,-3.40%,
25,Cronos,CRO,"$3,651,347,094 ",$0.14 ,"25,263,013,692 CRO *","$19,537,279 ",-0.65%,-3.55%,-6.07%,
66,Curve DAO Token,CRV,"$686,426,043 ",$1.31 ,"524,130,448 CRV *","$137,387,370 ",-0.40%,-8.18%,-4.70%,
13,Dai,DAI,"$7,491,633,271 ",$1.00 ,"7,492,636,237 DAI *","$2,386,271,311 ",0.03%,0.00%,-0.01%,
169,DAO Maker,DAO,"$141,007,046 ",$1.99 ,"70,881,033 DAO *","$10,855,113 ",2.29%,-0.49%,31.34%,
76,Dash,DASH,"$575,038,752 ",$52.96 ,"10,857,581 DASH","$117,655,926 ",-0.28%,-2.14%,6.73%,
36,Decentraland,MANA,"$1,884,548,499 ",$1.02 ,"1,852,428,197 MANA *","$226,571,189 ",0.00%,-5.70%,3.02%,
82,Decred,DCR,"$501,325,345 ",$35.18 ,"14,251,833 DCR","$8,251,985 ",-0.36%,-6.37%,29.91%,
192,Dent,DENT,"$112,495,579 ",$0.00 ,"99,007,791,203 DENT *","$9,744,724 ",-0.10%,-5.62%,5.87%,
138,DigiByte,DGB,"$212,895,637 ",$0.01 ,"15,555,934,555 DGB","$66,012,000 ",2.06%,10.08%,19.75%,
11,Dogecoin,DOGE,"$9,158,105,424 ",$0.07 ,"132,670,764,300 DOGE","$617,490,325 ",0.36%,-1.24%,1.14%,
153,Dogelon Mars,ELON,"$176,730,854 ",$0.00 ,"548,867,682,185,010 ELON *","$3,102,701 ",-0.48%,-2.71%,-7.23%,
163,dYdX,DYDX,"$150,080,741 ",$2.29 ,"65,569,295 DYDX *","$96,965,623 ",0.06%,-6.91%,-3.16%,
61,eCash,XEC,"$834,344,250 ",$0.00 ,"19,137,392,173,303 XEC *","$18,692,416 ",-0.22%,-4.63%,-0.46%,
173,Ellipsis,EPS,"$135,188,077 ",$0.19 ,"723,701,572 EPS *","$1,897,779 ",-0.24%,0.32%,7.99%,
43,Elrond,EGLD,"$1,430,379,254 ",$62.24 ,"22,979,911 EGLD *","$54,315,799 ",0.35%,-4.44%,8.42%,
73,Enjin Coin,ENJ,"$602,037,957 ",$0.67 ,"896,399,956 ENJ *","$70,498,001 ",1.02%,-4.09%,6.90%,
46,EOS,EOS,"$1,169,467,593 ",$1.17 ,"996,666,366 EOS *","$246,460,176 ",-0.15%,-6.60%,-3.35%,
2,Ethereum,ETH,"$205,798,518,998 ","$1,688.32 ","121,895,603 ETH","$16,546,437,083 ",-0.07%,-4.58%,1.36%,
19,Ethereum Classic,ETC,"$4,977,156,844 ",$36.53 ,"136,258,789 ETC","$926,193,753 ",0.62%,-2.99%,-4.42%,
110,Ethereum Name Service,ENS,"$321,390,283 ",$15.88 ,"20,244,862 ENS *","$139,265,702 ",1.23%,-4.34%,5.18%,
55,Fantom,FTM,"$924,599,196 ",$0.36 ,"2,545,006,273 FTM *","$357,465,047 ",-0.16%,-4.03%,7.06%,
95,Fei USD,FEI,"$419,648,083 ",$0.99 ,"424,996,178 FEI *","$1,342,421 ",0.13%,-0.07%,0.06%,
34,Filecoin,FIL,"$2,063,830,842 ",$8.01 ,"257,543,547 FIL","$476,371,925 ",0.03%,-9.93%,-8.47%,
28,Flow,FLOW,"$3,044,270,270 ",$2.94 ,"1,036,200,000 FLOW *","$321,328,900 ",2.35%,-0.45%,52.49%,
158,Flux,FLUX,"$156,902,759 ",$0.61 ,"256,690,186 FLUX","$5,594,218 ",0.12%,-3.81%,-4.05%,
190,Frax Share,FXS,"$112,647,550 ",$6.95 ,"16,209,405 FXS *","$20,006,909 ",0.78%,-8.35%,-2.70%,
23,FTX Token,FTT,"$4,000,271,981 ",$29.72 ,"134,598,602 FTT *","$349,987,553 ",-0.14%,-6.09%,-1.46%,
184,Function X,FX,"$122,417,945 ",$0.30 ,"408,520,357 FX *","$2,599,138 ",0.03%,-2.58%,1.87%,
97,Gala,GALA,"$415,586,073 ",$0.06 ,"6,977,205,436 GALA *","$268,476,601 ",0.27%,-3.04%,-4.08%,
104,GateToken,GT,"$370,174,176 ",$4.72 ,"78,403,166 GT *","$2,756,879 ",0.08%,-2.73%,8.13%,
139,Gemini Dollar,GUSD,"$212,192,333 ",$0.99 ,"213,278,411 GUSD *","$2,297,075 ",0.04%,-0.21%,-0.74%,
96,Gnosis,GNO,"$416,509,168 ",$161.46 ,"2,579,588 GNO *","$9,101,931 ",0.03%,-3.99%,0.97%,
126,Golem,GLM,"$257,661,085 ",$0.26 ,"1,000,000,000 GLM *","$6,361,418 ",0.06%,-5.39%,-2.68%,
111,Harmony,ONE,"$318,827,828 ",$0.03 ,"12,419,368,682 ONE *","$62,363,407 ",0.12%,-1.16%,13.63%,
39,Hedera,HBAR,"$1,560,811,612 ",$0.07 ,"21,084,776,584 HBAR *","$47,197,125 ",-0.66%,-5.53%,-1.70%,
50,Helium,HNT,"$1,052,416,860 ",$8.53 ,"123,356,637 HNT","$15,526,545 ",-0.02%,-5.42%,-4.57%,
127,Hive,HIVE,"$256,861,662 ",$0.60 ,"429,553,652 HIVE *","$46,186,567 ",-1.05%,-0.07%,-3.89%,
94,Holo,HOT,"$427,441,882 ",$0.00 ,"173,342,974,127 HOT *","$34,666,778 ",-0.02%,-6.83%,6.75%,
124,Horizen,ZEN,"$260,592,925 ",$20.53 ,"12,692,638 ZEN","$36,327,910 ",1.69%,7.95%,16.50%,
68,Huobi Token,HT,"$668,813,298 ",$4.35 ,"153,920,626 HT *","$10,027,807 ",0.24%,-1.12%,-1.78%,
115,ICON,ICX,"$296,695,593 ",$0.32 ,"919,483,096 ICX *","$10,027,739 ",0.34%,-5.07%,-0.43%,
125,Immutable X,IMX,"$259,230,919 ",$1.10 ,"235,284,001 IMX *","$85,340,234 ",0.03%,-7.50%,2.29%,
35,Internet Computer,ICP,"$1,954,454,075 ",$7.82 ,"249,945,100 ICP *","$87,032,816 ",0.32%,-6.17%,-3.87%,
121,IOST,IOST,"$270,380,883 ",$0.01 ,"18,588,745,668 IOST *","$22,903,908 ",-0.08%,-5.22%,-2.80%,
56,IOTA,MIOTA,"$907,757,811 ",$0.33 ,"2,779,530,283 MIOTA *","$16,393,410 ",0.19%,-6.26%,0.19%,
107,IoTeX,IOTX,"$333,678,265 ",$0.03 ,"9,540,779,324 IOTX *","$13,841,679 ",0.10%,-5.89%,6.41%,
189,JOE,JOE,"$116,207,749 ",$0.38 ,"306,732,831 JOE *","$4,634,766 ",-0.23%,-5.85%,8.56%,
119,JUST,JST,"$278,861,575 ",$0.03 ,"8,902,080,000 JST *","$40,013,824 ",-0.04%,-4.83%,-1.52%,
102,Kadena,KDA,"$388,381,963 ",$2.10 ,"184,802,448 KDA","$35,714,122 ",0.27%,-7.95%,7.97%,
79,Kava,KAVA,"$552,520,262 ",$2.25 ,"246,037,085 KAVA *","$61,907,684 ",-1.12%,2.69%,8.30%,
159,Keep Network,KEEP,"$156,387,105 ",$0.19 ,"842,909,143 KEEP *","$450,157 ",-0.56%,-3.44%,1.32%,
60,Klaytn,KLAY,"$853,898,942 ",$0.29 ,"2,983,736,612 KLAY *","$48,512,996 ",-0.12%,-2.92%,-2.27%,
52,KuCoin Token,KCS,"$1,034,561,659 ",$10.52 ,"98,379,861 KCS *","$3,463,539 ",-0.27%,-1.29%,3.87%,
81,Kusama,KSM,"$508,131,841 ",$59.99 ,"8,470,098 KSM *","$50,917,696 ",-0.01%,-8.54%,-3.68%,
